[0509/103511.694:WARNING:render_frame_host_impl.cc(2751)] OnDidStopLoading was called twice.
[0509/103855.060:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | configuration parameters after validation:", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.062:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · viaHost: "5jdes83o22h6.invalid"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.062:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · uri: sip:67eadd9a-ae3b-4e42-8094-ea4aa0548582@endpoint.twilio.com", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.063:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · wsServers: [{"ws_uri":"wss://endpoint.twilio.com","sip_uri":"<sip:endpoint.twilio.com;transport=ws;lr>","weight":0,"status":0,"scheme":"WSS"}]", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.063:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · password: NOT SHOWN", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.063:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · registerExpires: 600", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.063:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · register: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.063:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · registrarServer: sip:endpoint.twilio.com", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.064:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · wsServerMaxReconnection: 3", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.065:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · wsServerReconnectionTimeout: 4", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.065:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · connectionRecoveryMinInterval: 2", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.066:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · connectionRecoveryMaxInterval: 30", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.067:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · keepAliveInterval: 30", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.067:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · extraSupported: ["room-signaling","timer"]", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.069:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · usePreloadedRoute: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.070:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · userAgentString: "SIP.js/0.7.7"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.071:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · iceCheckingTimeout: 5000", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.071:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · noAnswerTimeout: 60000", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.074:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · stunServers: ["stun:stun.l.google.com:19302"]", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.075:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · turnServers: []", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
